userWallet,total_deposit_usd,deposit_USDC_usd,deposit_count,deposit_USDC_count,deposit_pool_0x2791bca1f2de4661ed88a30c99a7a9449aa84174_count,avg_borrow_rate,total_transactions,total_volume_usd,net_position_usd,deposit_WMATIC_usd,deposit_WMATIC_count,deposit_pool_0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270_count,total_redeemunderlying_usd,redeemunderlying_USDC_usd,redeemunderlying_DAI_usd,redeemunderlying_WBTC_usd,redeemunderlying_WETH_usd,redeemunderlying_count,redeemunderlying_USDC_count,redeemunderlying_DAI_count,redeemunderlying_WBTC_count,redeemunderlying_WETH_count,deposit_USDT_usd,redeemunderlying_USDT_usd,deposit_WPOL_usd,deposit_WETH_usd,total_borrow_usd,borrow_USDT_usd,total_stable_debt,total_variable_debt,total_repay_usd,repay_USDT_usd,deposit_DAI_usd,borrow_WPOL_usd,borrow_WMATIC_usd,deposit_USDT_count,deposit_pool_0xc2132d05d31c914a87c6611c10748aeb04b58e8f_count,redeemunderlying_USDT_count,deposit_WPOL_count,deposit_WETH_count,deposit_pool_0x7ceb23fd6bc0add59e62ac25578270cff1b9f619_count,borrow_count,borrow_USDT_count,repay_count,repay_USDT_count,deposit_DAI_count,deposit_pool_0x8f3cf7ad23cd3cadbd9735aff958023239c6a063_count,borrow_WPOL_count,borrow_WMATIC_count,borrow_USDC_usd,repay_USDC_usd,borrow_USDC_count,repay_USDC_count,deposit_WBTC_usd,deposit_AAVE_usd,deposit_WBTC_count,deposit_pool_0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6_count,deposit_AAVE_count,deposit_pool_0xd6df932a45c0f255f85145f286ea0b292b21c90b_count,repay_WBTC_usd,borrow_WBTC_usd,borrow_DAI_usd,repay_DAI_usd,repay_WBTC_count,borrow_WBTC_count,borrow_DAI_count,repay_DAI_count,borrow_WETH_usd,repay_WETH_usd,borrow_WETH_count,repay_WETH_count,redeemunderlying_AAVE_usd,redeemunderlying_AAVE_count,total_liquidationcall_usd,total_liquidation_collateral_usd,total_liquidation_principal_usd,liquidationcall_count,liquidation_collateral_WETH_count,liquidation_principal_USDT_count,redeemunderlying_WPOL_usd,redeemunderlying_WPOL_count,redeemunderlying_WMATIC_usd,repay_WMATIC_usd,redeemunderlying_WMATIC_count,repay_WMATIC_count,liquidation_collateral_USDC_count,liquidation_collateral_WMATIC_count,liquidation_principal_WMATIC_count,liquidation_collateral_WPOL_count,liquidation_principal_USDC_count,liquidation_collateral_DAI_count,repay_WPOL_usd,repay_WPOL_count,liquidation_principal_WBTC_count,liquidation_collateral_AAVE_count,liquidation_principal_DAI_count,liquidation_principal_WETH_count,liquidation_principal_WPOL_count,liquidation_collateral_WBTC_count
0x009990e99b12f7ebcc594fb721fe56e4f88ac27e,887715502002091.4,0.0,2.0,0.0,0.0,3.4266145292590655e+25,5,887715502002944.0,887715502001806.2,0.0,0.0,1.0,284.92697886236095,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,282.6173291165099,284.92697886236095,887715502001808.8,0.0,283.94446528882094,283.94446528882094,0.0,0.0,283.8009421015542,283.8009421015542,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0099a7b429f7541cbda34d6aa8cd82181fbb8bb5,2.7875214586280028e+16,0.0,12.0,0.0,0.0,5.0377156709482915e+25,37,3.5710459157930596e+16,2.2041377212920588e+16,2.423306974988965e+16,10.0,10.0,3175112181403351.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3659428791101652.0,3301.3271916283993,0.0,0.0,1000703599145563.6,3301.8461303201257,0.0,113035472628943.98,2542339190466280.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10.0,3.0,0.0,0.0,1.0,3.0,3126.4467902986025,3131.0573442386467,5.0,5.0,0.0,3642144836390382.5,0.0,0.0,2.0,2.0,0.0,0.0,1004054128000000.4,1000703599139130.8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3175112181403351.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009ae9ce6f09789a764aaab19781864db4edbb16,9250.16334003354,9250.16334003354,1.0,1.0,1.0,0.0,2,18500.32668006708,0.0,0.0,0.0,0.0,9250.16334003354,9250.16334003354,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009b05514d08da09a84f47de870af880bcd375a5,62888211581433.78,0.0,2.0,0.0,0.0,0.0,4,1067196082783952.5,-941419659621085.0,62888211580432.23,1.0,1.0,1004307871202518.8,0.0,1004307871201517.2,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1001.5537650894805,1001.5538222257161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009b21f6f8273fe12dbc9c8025ca27db7de16b8c,982008127004233.1,694.0228930233312,71.0,19.0,19.0,4.456187737819782e+25,187,3391421433879643.0,-377142988152656.75,35006866674675.24,5.0,10.0,1357095154049589.5,808.8619906589078,1081987235665767.4,0.0,272249994219977.75,46.0,20.0,17.0,0.0,5.0,8.014910432551932,7.98767191756538,37297977768659.39,268613448504223.03,527187056966560.7,90.16801407411475,0.0,0.0,525131095859260.25,90.23179619120253,637584378111846.0,0.0,0.0,3.0,3.0,3.0,5.0,12.0,12.0,38.0,9.0,32.0,8.0,25.0,25.0,0.0,0.0,281.62863931639214,282.1301837351208,9.0,13.0,0.0,3505455944127.228,0.0,0.0,2.0,2.0,0.0,0.0,527187056966188.9,525131095858887.9,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,2857924163027.7783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009b56330ae5ec5042b9ca46ddb3043cc0d006f3,402967000000000.6,0.0,1.0,0.0,0.0,6.756412682101726e+25,3,497466791170000.75,308467208830000.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402967000000000.6,94499791170000.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94499791170000.14,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136082693809589.84,129602565532942.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009ba176a4d59d90357e9ed631c3038dcfa7f18b,1386735051773439.2,0.0,8.0,0.0,0.0,0.0,8,1386735051773439.2,1386735051773439.2,1085457857972567.9,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.1181388650448,0.0,140538695251720.8,160738498529404.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18921.822325734563,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009bd2e8e42fea1fab886ed083f5332eefa35b85,0.0,0.0,0.0,0.0,0.0,0.0,3,3341597.70734196,-3341597.70734196,0.0,0.0,0.0,3341597.70734196,214918.53724264982,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3126679.1700993106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009c52172355d5729543a64832249638822ff8c9,1.0595599431830004e+16,0.0,1.0,0.0,0.0,4.0780435321057915e+25,4,2.330578513864515e+16,127438475273450.0,1.0595599431830004e+16,1.0,1.0,1.0468160956556554e+16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121012375129294.6,0.0,0.0,0.0,1121012375129294.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121012375129294.6,1121012375129294.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0468160956556554e+16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x009c8da3408c57e8c4b6872fbbdf832dadf45c5e,120.94435669565488,45.155088579603365,3.0,2.0,2.0,2.952686424850851e+25,22,314.4420636128449,-0.06581784172342964,0.0,0.0,0.0,121.31978831288416,45.523068048983056,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,75.78926811605152,75.79672026390111,0.0,0.0,35.93415241440002,0.0,0.0,0.0,36.243766189905855,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,35.93415241440002,36.243766189905855,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
